               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,             0.01675,           0.0033089,                   0,               0.995,             0.86207,             0.88717,             0.52297,            0.028418,           0.0025779,                   0,            0.001585,            0.001585,            0.001585
                 104,            0.016282,           0.0032324,                   0,             0.99627,             0.86207,             0.88489,              0.5198,            0.028735,           0.0026169,                   0,           0.0015025,           0.0015025,           0.0015025
                 105,            0.016265,           0.0032027,                   0,             0.98202,             0.86207,             0.89557,             0.52606,             0.02885,           0.0025446,                   0,             0.00142,             0.00142,             0.00142
                 106,            0.016476,           0.0034041,                   0,             0.98808,             0.86207,             0.88458,             0.52771,            0.028602,            0.002586,                   0,           0.0013375,           0.0013375,           0.0013375
                 107,            0.015996,           0.0031859,                   0,             0.99287,             0.86207,             0.88602,             0.52078,            0.028575,           0.0026407,                   0,            0.001255,            0.001255,            0.001255
                 108,            0.016024,           0.0031163,                   0,             0.99304,             0.86207,             0.88521,             0.51985,            0.028742,           0.0025603,                   0,           0.0011725,           0.0011725,           0.0011725
                 109,            0.015649,           0.0032635,                   0,             0.99436,             0.86207,             0.90039,              0.5346,            0.028748,           0.0025535,                   0,             0.00109,             0.00109,             0.00109
                 110,            0.015772,           0.0032033,                   0,             0.99289,             0.86207,             0.88587,             0.52846,            0.028826,           0.0025853,                   0,           0.0010075,           0.0010075,           0.0010075
                 111,            0.016077,           0.0032543,                   0,              0.9917,             0.86207,             0.88563,             0.52551,            0.028889,           0.0025761,                   0,            0.000925,            0.000925,            0.000925
                 112,            0.015743,           0.0031645,                   0,             0.99292,             0.86207,               0.888,             0.52058,            0.029048,           0.0025965,                   0,           0.0008425,           0.0008425,           0.0008425
                 113,            0.016038,           0.0032428,                   0,             0.99053,             0.86207,             0.88839,             0.52023,            0.029152,           0.0025723,                   0,             0.00076,             0.00076,             0.00076
                 114,            0.015522,           0.0033448,                   0,             0.99287,             0.86207,             0.88541,             0.53019,            0.029181,           0.0025653,                   0,           0.0006775,           0.0006775,           0.0006775
                 115,            0.015663,           0.0032401,                   0,             0.99265,             0.86207,              0.8928,             0.52339,            0.029313,           0.0025665,                   0,            0.000595,            0.000595,            0.000595
                 116,            0.015528,           0.0031599,                   0,             0.99326,             0.86207,             0.89316,             0.52503,            0.028955,           0.0025917,                   0,           0.0005125,           0.0005125,           0.0005125
                 117,            0.015302,           0.0030808,                   0,             0.99283,             0.86207,             0.89023,             0.53571,             0.02873,           0.0026059,                   0,             0.00043,             0.00043,             0.00043
                 118,            0.015022,           0.0031304,                   0,             0.99015,             0.86207,             0.89003,              0.5247,            0.028943,           0.0026082,                   0,           0.0003475,           0.0003475,           0.0003475
                 119,            0.015133,            0.003051,                   0,             0.98837,             0.86207,             0.88977,             0.53357,            0.028998,           0.0025998,                   0,            0.000265,            0.000265,            0.000265
